Lang;Source;Metric;Value
C;fasta;NOM__functions;8
C;fasta;NOM__closures;0
C;fasta;NOM__total;8
C;fasta;HALSTEAD__n1;31
C;fasta;HALSTEAD__n2;115
C;fasta;HALSTEAD__N1;570
C;fasta;HALSTEAD__N2;415
C;fasta;HALSTEAD__Vocabulary;146
C;fasta;HALSTEAD__Length;985
C;fasta;HALSTEAD__Volume;7081.9771904968175
C;fasta;HALSTEAD__Difficulty;55.93478260869565
C;fasta;HALSTEAD__Level;0.017877963466770307
C;fasta;HALSTEAD__Effort;396128.8545901807
C;fasta;HALSTEAD__Programming time;22007.158588343373
C;fasta;HALSTEAD__Bugs;1.7979173803681505
C;fasta;HALSTEAD__Estimated program length;940.8114414805963
C;fasta;HALSTEAD__Purity ratio;0.9551385192696409
C;fasta;MI__Original;22.23200140869568
C;fasta;MI__Sei;-12.466182327989948
C;fasta;MI__Visual Studio;13.001170414441917
C;knucleotide;SLOC;247
C;knucleotide;PLOC;135
C;knucleotide;LLOC;56
C;knucleotide;CLOC;56
C;knucleotide;BLANK;56
C;knucleotide;CC;27.0
C;knucleotide;NARGS_SUM;10
C;knucleotide;NARGS_AVG;2.5
C;knucleotide;COGNITIVE_SUM;28
C;knucleotide;COGNITIVE_AVG;7
C;knucleotide;NEXITS;4
C;knucleotide;NEXITS_AVG;1
C;knucleotide;NOM__functions;4
C;knucleotide;NOM__closures;0
C;knucleotide;NOM__total;4
C;knucleotide;HALSTEAD__n1;34
C;knucleotide;HALSTEAD__n2;79
C;knucleotide;HALSTEAD__N1;482
C;knucleotide;HALSTEAD__N2;385
C;knucleotide;HALSTEAD__Vocabulary;113
C;knucleotide;HALSTEAD__Length;867
C;knucleotide;HALSTEAD__Volume;5913.095160413968
C;knucleotide;HALSTEAD__Difficulty;82.84810126582279
C;knucleotide;HALSTEAD__Level;0.012070282658517952
C;knucleotide;HALSTEAD__Effort;489888.7066444231
C;knucleotide;HALSTEAD__Programming time;27216.039258023506
C;knucleotide;HALSTEAD__Bugs;2.0714622848378177
C;knucleotide;HALSTEAD__Estimated program length;670.9724157085027
C;knucleotide;HALSTEAD__Purity ratio;0.7739012868610181
C;knucleotide;MI__Original;30.376300563228924
C;knucleotide;MI__Sei;4.499605876006868
C;knucleotide;MI__Visual Studio;17.76391845802861
C;mandelbrot;SLOC;201
C;mandelbrot;PLOC;140
C;mandelbrot;LLOC;60
C;mandelbrot;CLOC;22
C;mandelbrot;BLANK;39
C;mandelbrot;CC;39.0
C;mandelbrot;NARGS_SUM;17
C;mandelbrot;NARGS_AVG;2.42857
C;mandelbrot;COGNITIVE_SUM;33
C;mandelbrot;COGNITIVE_AVG;4.7142857
C;mandelbrot;NEXITS;5
C;mandelbrot;NEXITS_AVG;0.7142857142857143
C;mandelbrot;NOM__functions;7
C;mandelbrot;NOM__closures;0
C;mandelbrot;NOM__total;7
C;mandelbrot;HALSTEAD__n1;33
C;mandelbrot;HALSTEAD__n2;78
C;mandelbrot;HALSTEAD__N1;500
C;mandelbrot;HALSTEAD__N2;395
C;mandelbrot;HALSTEAD__Vocabulary;111
C;mandelbrot;HALSTEAD__Length;895
C;mandelbrot;HALSTEAD__Volume;6081.002200383345
C;mandelbrot;HALSTEAD__Difficulty;83.5576923076923
C;mandelbrot;HALSTEAD__Level;0.011967779056386652
C;mandelbrot;HALSTEAD__Effort;508114.5107820314
C;mandelbrot;HALSTEAD__Programming time;28228.583932335077
C;mandelbrot;HALSTEAD__Bugs;2.122526610378524
C;mandelbrot;HALSTEAD__Estimated program length;656.7263790100843
C;mandelbrot;HALSTEAD__Purity ratio;0.7337724905140607
C;mandelbrot;MI__Original;30.8092515452214
C;mandelbrot;MI__Sei;-2.7623552082978513
C;mandelbrot;MI__Visual Studio;18.01710616679614
C;nbody;SLOC;160
C;nbody;PLOC;128
C;nbody;LLOC;39
C;nbody;CLOC;13
C;nbody;BLANK;19
C;nbody;CC;28.0
C;nbody;NARGS_SUM;9
C;nbody;NARGS_AVG;2.25
C;nbody;COGNITIVE_SUM;30
C;nbody;COGNITIVE_AVG;7.5
C;nbody;NEXITS;2
C;nbody;NEXITS_AVG;0.5
C;nbody;NOM__functions;4
C;nbody;NOM__closures;0
C;nbody;NOM__total;4
C;nbody;HALSTEAD__n1;19
C;nbody;HALSTEAD__n2;85
C;nbody;HALSTEAD__N1;534
C;nbody;HALSTEAD__N2;429
C;nbody;HALSTEAD__Vocabulary;104
C;nbody;HALSTEAD__Length;963
C;nbody;HALSTEAD__Volume;6452.523448569871
C;nbody;HALSTEAD__Difficulty;47.94705882352941
C;nbody;HALSTEAD__Level;0.020856336645810332
C;nbody;HALSTEAD__Effort;309379.52134878247
C;nbody;HALSTEAD__Programming time;17187.75118604347
C;nbody;HALSTEAD__Bugs;1.5247774273398966
C;nbody;HALSTEAD__Estimated program length;625.5088523271327
C;nbody;HALSTEAD__Purity ratio;0.6495419027280713
C;nbody;MI__Original;36.72660605201497
C;nbody;MI__Sei;1.5041821017136954
C;nbody;MI__Visual Studio;21.477547398839164
C;regexredux;SLOC;208
C;regexredux;PLOC;111
C;regexredux;LLOC;38
C;regexredux;CLOC;51
C;regexredux;BLANK;46
C;regexredux;CC;12.0
C;regexredux;NARGS_SUM;6
C;regexredux;NARGS_AVG;3
C;regexredux;COGNITIVE_SUM;11
C;regexredux;COGNITIVE_AVG;5.5
C;regexredux;NEXITS;1
C;regexredux;NEXITS_AVG;0.5
C;regexredux;NOM__functions;2
C;regexredux;NOM__closures;0
C;regexredux;NOM__total;2
C;regexredux;HALSTEAD__n1;26
C;regexredux;HALSTEAD__n2;77
C;regexredux;HALSTEAD__N1;410
C;regexredux;HALSTEAD__N2;328
C;regexredux;HALSTEAD__Vocabulary;103
C;regexredux;HALSTEAD__Length;738
C;regexredux;HALSTEAD__Volume;4934.637389061215
C;regexredux;HALSTEAD__Difficulty;55.37662337662338
C;regexredux;HALSTEAD__Level;0.018058161350844277
C;regexredux;HALSTEAD__Effort;273263.55619424704
C;regexredux;HALSTEAD__Programming time;15181.308677458168
C;regexredux;HALSTEAD__Bugs;1.4036749703370608
C;regexredux;HALSTEAD__Estimated program length;604.7539963051757
C;regexredux;HALSTEAD__Purity ratio;0.819449859492108
C;regexredux;MI__Original;37.550903855613285
C;regexredux;MI__Sei;14.398456559195303
C;regexredux;MI__Visual Studio;21.959592898019466
C;revcomp;SLOC;151
C;revcomp;PLOC;77
C;revcomp;LLOC;37
C;revcomp;CLOC;41
C;revcomp;BLANK;33
C;revcomp;CC;17.0
C;revcomp;NARGS_SUM;3
C;revcomp;NARGS_AVG;1.5
C;revcomp;COGNITIVE_SUM;21
C;revcomp;COGNITIVE_AVG;10.5
C;revcomp;NEXITS;1
C;revcomp;NEXITS_AVG;0.5
C;revcomp;NOM__functions;2
C;revcomp;NOM__closures;0
C;revcomp;NOM__total;2
C;revcomp;HALSTEAD__n1;25
C;revcomp;HALSTEAD__n2;29
C;revcomp;HALSTEAD__N1;194
C;revcomp;HALSTEAD__N2;128
C;revcomp;HALSTEAD__Vocabulary;54
C;revcomp;HALSTEAD__Length;322
C;revcomp;HALSTEAD__Volume;1853.0737756966369
